r (cm)        	 u (cm/s)    	 cs (cm/s)   	 rho (g/cm3) 	 T (K)       	 P (dyne/cm2) 	 phi         	 L (erg/s)   	 L* (erg/s)  	 E (erg)     	 tau        
1.20000035e+06 	 8.701741e-02 	 2.833581e+08 	 1.109653e+05 	 1.294912e+09 	 1.604931e+22 	 3.276383e+09 	 5.846111e+38 	 3.820634e+38 	 3.511441e+22 	 7.658314e+09
1.20000989e+06 	 8.802284e-02 	 2.829522e+08 	 1.096958e+05 	 1.291205e+09 	 1.584020e+22 	 3.234147e+09 	 5.846084e+38 	 3.820632e+38 	 3.467077e+22 	 7.584042e+09
1.20001942e+06 	 8.903990e-02 	 2.825470e+08 	 1.084409e+05 	 1.287510e+09 	 1.563387e+22 	 3.192458e+09 	 5.846058e+38 	 3.820631e+38 	 3.423289e+22 	 7.510479e+09
1.20002893e+06 	 9.006870e-02 	 2.821425e+08 	 1.072003e+05 	 1.283826e+09 	 1.543028e+22 	 3.151308e+09 	 5.846031e+38 	 3.820629e+38 	 3.380069e+22 	 7.437618e+09
1.20003841e+06 	 9.110940e-02 	 2.817386e+08 	 1.059739e+05 	 1.280152e+09 	 1.522940e+22 	 3.110690e+09 	 5.846004e+38 	 3.820628e+38 	 3.337410e+22 	 7.365452e+09
1.20004789e+06 	 9.216213e-02 	 2.813353e+08 	 1.047615e+05 	 1.276490e+09 	 1.503118e+22 	 3.070598e+09 	 5.845977e+38 	 3.820627e+38 	 3.295305e+22 	 7.293975e+09
1.20005734e+06 	 9.322702e-02 	 2.809327e+08 	 1.035630e+05 	 1.272840e+09 	 1.483560e+22 	 3.031024e+09 	 5.845951e+38 	 3.820625e+38 	 3.253744e+22 	 7.223181e+09
1.20006678e+06 	 9.430422e-02 	 2.805307e+08 	 1.023782e+05 	 1.269200e+09 	 1.464261e+22 	 2.991963e+09 	 5.845924e+38 	 3.820624e+38 	 3.212722e+22 	 7.153063e+09
1.20007620e+06 	 9.539387e-02 	 2.801294e+08 	 1.012070e+05 	 1.265571e+09 	 1.445218e+22 	 2.953406e+09 	 5.845898e+38 	 3.820622e+38 	 3.172231e+22 	 7.083615e+09
1.20008560e+06 	 9.649611e-02 	 2.797287e+08 	 1.000492e+05 	 1.261953e+09 	 1.426427e+22 	 2.915348e+09 	 5.845871e+38 	 3.820621e+38 	 3.132264e+22 	 7.014830e+09
1.20009499e+06 	 9.761109e-02 	 2.793286e+08 	 9.890460e+04 	 1.258346e+09 	 1.407886e+22 	 2.877782e+09 	 5.845845e+38 	 3.820619e+38 	 3.092813e+22 	 6.946703e+09
1.20010435e+06 	 9.873896e-02 	 2.789292e+08 	 9.777311e+04 	 1.254749e+09 	 1.389591e+22 	 2.840702e+09 	 5.845818e+38 	 3.820618e+38 	 3.053874e+22 	 6.879226e+09
1.20011371e+06 	 9.987986e-02 	 2.785304e+08 	 9.665456e+04 	 1.251164e+09 	 1.371538e+22 	 2.804101e+09 	 5.845792e+38 	 3.820616e+38 	 3.015438e+22 	 6.812395e+09
1.20012304e+06 	 1.010340e-01 	 2.781322e+08 	 9.554881e+04 	 1.247590e+09 	 1.353725e+22 	 2.767973e+09 	 5.845766e+38 	 3.820615e+38 	 2.977499e+22 	 6.746202e+09
1.20013236e+06 	 1.022014e-01 	 2.777347e+08 	 9.445572e+04 	 1.244026e+09 	 1.336147e+22 	 2.732313e+09 	 5.845739e+38 	 3.820613e+38 	 2.940050e+22 	 6.680642e+09
1.20014166e+06 	 1.033823e-01 	 2.773379e+08 	 9.337512e+04 	 1.240473e+09 	 1.318803e+22 	 2.697114e+09 	 5.845713e+38 	 3.820612e+38 	 2.903084e+22 	 6.615709e+09
1.20015094e+06 	 1.045769e-01 	 2.769416e+08 	 9.230689e+04 	 1.236931e+09 	 1.301688e+22 	 2.662369e+09 	 5.845687e+38 	 3.820611e+38 	 2.866596e+22 	 6.551397e+09
1.20016021e+06 	 1.057853e-01 	 2.765460e+08 	 9.125088e+04 	 1.233400e+09 	 1.284799e+22 	 2.628074e+09 	 5.845661e+38 	 3.820609e+38 	 2.830578e+22 	 6.487700e+09
1.20016946e+06 	 1.070076e-01 	 2.761510e+08 	 9.020695e+04 	 1.229879e+09 	 1.268134e+22 	 2.594222e+09 	 5.845635e+38 	 3.820608e+38 	 2.795025e+22 	 6.424613e+09
1.20017869e+06 	 1.082441e-01 	 2.757566e+08 	 8.917497e+04 	 1.226368e+09 	 1.251690e+22 	 2.560807e+09 	 5.845609e+38 	 3.820606e+38 	 2.759931e+22 	 6.362129e+09
1.20018791e+06 	 1.094948e-01 	 2.753629e+08 	 8.815479e+04 	 1.222869e+09 	 1.235463e+22 	 2.527824e+09 	 5.845583e+38 	 3.820605e+38 	 2.725290e+22 	 6.300243e+09
1.20019711e+06 	 1.107600e-01 	 2.749698e+08 	 8.714628e+04 	 1.219380e+09 	 1.219452e+22 	 2.495268e+09 	 5.845557e+38 	 3.820603e+38 	 2.691095e+22 	 6.238949e+09
1.20020630e+06 	 1.120399e-01 	 2.745773e+08 	 8.614930e+04 	 1.215902e+09 	 1.203651e+22 	 2.463132e+09 	 5.845531e+38 	 3.820602e+38 	 2.657341e+22 	 6.178242e+09
1.20021546e+06 	 1.133345e-01 	 2.741855e+08 	 8.516374e+04 	 1.212434e+09 	 1.188060e+22 	 2.431412e+09 	 5.845505e+38 	 3.820600e+38 	 2.624021e+22 	 6.118116e+09
1.20022462e+06 	 1.146441e-01 	 2.737943e+08 	 8.418945e+04 	 1.208976e+09 	 1.172675e+22 	 2.400101e+09 	 5.845479e+38 	 3.820599e+38 	 2.591131e+22 	 6.058566e+09
1.20023375e+06 	 1.159688e-01 	 2.734036e+08 	 8.322630e+04 	 1.205529e+09 	 1.157493e+22 	 2.369195e+09 	 5.845453e+38 	 3.820598e+38 	 2.558663e+22 	 5.999587e+09
1.20024287e+06 	 1.173089e-01 	 2.730137e+08 	 8.227418e+04 	 1.202092e+09 	 1.142511e+22 	 2.338688e+09 	 5.845427e+38 	 3.820596e+38 	 2.526613e+22 	 5.941172e+09
1.20025198e+06 	 1.186644e-01 	 2.726243e+08 	 8.133294e+04 	 1.198666e+09 	 1.127728e+22 	 2.308576e+09 	 5.845402e+38 	 3.820595e+38 	 2.494975e+22 	 5.883317e+09
1.20026106e+06 	 1.200356e-01 	 2.722355e+08 	 8.040248e+04 	 1.195250e+09 	 1.113139e+22 	 2.278852e+09 	 5.845376e+38 	 3.820593e+38 	 2.463744e+22 	 5.826017e+09
1.20027013e+06 	 1.214227e-01 	 2.718474e+08 	 7.948266e+04 	 1.191844e+09 	 1.098743e+22 	 2.249512e+09 	 5.845350e+38 	 3.820592e+38 	 2.432914e+22 	 5.769265e+09
1.20027919e+06 	 1.228257e-01 	 2.714599e+08 	 7.857336e+04 	 1.188449e+09 	 1.084538e+22 	 2.220552e+09 	 5.845325e+38 	 3.820590e+38 	 2.402482e+22 	 5.713057e+09
1.20028823e+06 	 1.242450e-01 	 2.710731e+08 	 7.767446e+04 	 1.185064e+09 	 1.070520e+22 	 2.191965e+09 	 5.845299e+38 	 3.820589e+38 	 2.372439e+22 	 5.657387e+09
1.20029725e+06 	 1.256807e-01 	 2.706868e+08 	 7.678585e+04 	 1.181689e+09 	 1.056687e+22 	 2.163748e+09 	 5.845274e+38 	 3.820587e+38 	 2.342783e+22 	 5.602252e+09
1.20030626e+06 	 1.271330e-01 	 2.703011e+08 	 7.590740e+04 	 1.178324e+09 	 1.043036e+22 	 2.135894e+09 	 5.845248e+38 	 3.820586e+38 	 2.313507e+22 	 5.547645e+09
1.20031525e+06 	 1.286021e-01 	 2.699161e+08 	 7.503901e+04 	 1.174970e+09 	 1.029565e+22 	 2.108401e+09 	 5.845223e+38 	 3.820585e+38 	 2.284606e+22 	 5.493562e+09
1.20032423e+06 	 1.300882e-01 	 2.695317e+08 	 7.418054e+04 	 1.171625e+09 	 1.016271e+22 	 2.081263e+09 	 5.845198e+38 	 3.820583e+38 	 2.256076e+22 	 5.439998e+09
1.20033319e+06 	 1.315914e-01 	 2.691478e+08 	 7.333190e+04 	 1.168291e+09 	 1.003153e+22 	 2.054475e+09 	 5.845172e+38 	 3.820582e+38 	 2.227912e+22 	 5.386948e+09
1.20034213e+06 	 1.331120e-01 	 2.687646e+08 	 7.249297e+04 	 1.164966e+09 	 9.902080e+21 	 2.028033e+09 	 5.845147e+38 	 3.820580e+38 	 2.200109e+22 	 5.334407e+09
1.20035106e+06 	 1.346502e-01 	 2.683821e+08 	 7.166364e+04 	 1.161652e+09 	 9.774335e+21 	 2.001932e+09 	 5.845122e+38 	 3.820579e+38 	 2.172662e+22 	 5.282369e+09
1.20035998e+06 	 1.362061e-01 	 2.680001e+08 	 7.084379e+04 	 1.158348e+09 	 9.648271e+21 	 1.976169e+09 	 5.845097e+38 	 3.820577e+38 	 2.145567e+22 	 5.230831e+09
1.20036888e+06 	 1.377801e-01 	 2.676187e+08 	 7.003332e+04 	 1.155053e+09 	 9.523867e+21 	 1.950738e+09 	 5.845072e+38 	 3.820576e+38 	 2.118819e+22 	 5.179788e+09
1.20037776e+06 	 1.393722e-01 	 2.672380e+08 	 6.923213e+04 	 1.151769e+09 	 9.401101e+21 	 1.925635e+09 	 5.845046e+38 	 3.820575e+38 	 2.092413e+22 	 5.129235e+09
1.20038663e+06 	 1.409828e-01 	 2.668578e+08 	 6.844010e+04 	 1.148495e+09 	 9.279950e+21 	 1.900856e+09 	 5.845021e+38 	 3.820573e+38 	 2.066345e+22 	 5.079168e+09
1.20039548e+06 	 1.426119e-01 	 2.664783e+08 	 6.765713e+04 	 1.145230e+09 	 9.160391e+21 	 1.876398e+09 	 5.844996e+38 	 3.820572e+38 	 2.040610e+22 	 5.029581e+09
1.20040432e+06 	 1.442599e-01 	 2.660993e+08 	 6.688311e+04 	 1.141975e+09 	 9.042405e+21 	 1.852254e+09 	 5.844971e+38 	 3.820570e+38 	 2.015204e+22 	 4.980471e+09
1.20041314e+06 	 1.459269e-01 	 2.657209e+08 	 6.611796e+04 	 1.138730e+09 	 8.925971e+21 	 1.828423e+09 	 5.844946e+38 	 3.820569e+38 	 1.990123e+22 	 4.931832e+09
1.20042195e+06 	 1.476132e-01 	 2.653432e+08 	 6.536155e+04 	 1.135494e+09 	 8.811069e+21 	 1.804899e+09 	 5.844921e+38 	 3.820567e+38 	 1.965363e+22 	 4.883661e+09
1.20043074e+06 	 1.493190e-01 	 2.649661e+08 	 6.461380e+04 	 1.132269e+09 	 8.697679e+21 	 1.781679e+09 	 5.844897e+38 	 3.820566e+38 	 1.940919e+22 	 4.835952e+09
1.20043952e+06 	 1.510445e-01 	 2.645895e+08 	 6.387461e+04 	 1.129053e+09 	 8.585779e+21 	 1.758758e+09 	 5.844872e+38 	 3.820565e+38 	 1.916787e+22 	 4.788702e+09
1.20044828e+06 	 1.527900e-01 	 2.642136e+08 	 6.314387e+04 	 1.125847e+09 	 8.475348e+21 	 1.736133e+09 	 5.844847e+38 	 3.820563e+38 	 1.892963e+22 	 4.741906e+09
1.20045703e+06 	 1.545556e-01 	 2.638383e+08 	 6.242149e+04 	 1.122651e+09 	 8.366367e+21 	 1.713800e+09 	 5.844822e+38 	 3.820562e+38 	 1.869443e+22 	 4.695560e+09
1.20046576e+06 	 1.563417e-01 	 2.634635e+08 	 6.170738e+04 	 1.119464e+09 	 8.258817e+21 	 1.691755e+09 	 5.844798e+38 	 3.820560e+38 	 1.846223e+22 	 4.649659e+09
1.20047448e+06 	 1.581483e-01 	 2.630894e+08 	 6.100143e+04 	 1.116287e+09 	 8.152679e+21 	 1.669995e+09 	 5.844773e+38 	 3.820559e+38 	 1.823299e+22 	 4.604201e+09
1.20048318e+06 	 1.599759e-01 	 2.627158e+08 	 6.030356e+04 	 1.113119e+09 	 8.047933e+21 	 1.648515e+09 	 5.844748e+38 	 3.820558e+38 	 1.800668e+22 	 4.559179e+09
1.20049187e+06 	 1.618246e-01 	 2.623429e+08 	 5.961368e+04 	 1.109961e+09 	 7.944563e+21 	 1.627312e+09 	 5.844724e+38 	 3.820556e+38 	 1.778324e+22 	 4.514590e+09
1.20050055e+06 	 1.636946e-01 	 2.619705e+08 	 5.893168e+04 	 1.106812e+09 	 7.842550e+21 	 1.606384e+09 	 5.844699e+38 	 3.820555e+38 	 1.756266e+22 	 4.470431e+09
1.20050921e+06 	 1.655863e-01 	 2.615988e+08 	 5.825749e+04 	 1.103673e+09 	 7.741875e+21 	 1.585724e+09 	 5.844675e+38 	 3.820553e+38 	 1.734489e+22 	 4.426696e+09
1.20051785e+06 	 1.674998e-01 	 2.612276e+08 	 5.759101e+04 	 1.100544e+09 	 7.642519e+21 	 1.565332e+09 	 5.844650e+38 	 3.820552e+38 	 1.712988e+22 	 4.383382e+09
1.20052648e+06 	 1.694355e-01 	 2.608570e+08 	 5.693216e+04 	 1.097423e+09 	 7.544466e+21 	 1.545202e+09 	 5.844626e+38 	 3.820550e+38 	 1.691762e+22 	 4.340485e+09
1.20053510e+06 	 1.713935e-01 	 2.604871e+08 	 5.628085e+04 	 1.094313e+09 	 7.447697e+21 	 1.525332e+09 	 5.844601e+38 	 3.820549e+38 	 1.670805e+22 	 4.298002e+09
1.20054370e+06 	 1.733742e-01 	 2.601177e+08 	 5.563698e+04 	 1.091211e+09 	 7.352196e+21 	 1.505719e+09 	 5.844577e+38 	 3.820548e+38 	 1.650115e+22 	 4.255927e+09
1.20055229e+06 	 1.753777e-01 	 2.597488e+08 	 5.500048e+04 	 1.088119e+09 	 7.257946e+21 	 1.486358e+09 	 5.844553e+38 	 3.820546e+38 	 1.629687e+22 	 4.214258e+09
